"index","longitude","lattitude"
173000,31.285878,58.520286
173001,31.271801,58.528214
173002,31.253754,58.527269
173003,31.266151,58.537004
173004,31.293334,58.528294
173005,31.268838,58.523076
173006,31.268846,58.519478
173007,31.268846,58.519478
173008,31.273796,58.557487
173009,31.24186,58.514139
173011,31.314633,58.562815
173012,31.220319,58.618675
173013,31.311911,58.578869
173014,31.29416,58.537055
173015,31.255937,58.522556
173016,31.25096,58.539188
173017,31.314489,58.551628
173018,31.211138,58.547759
173019,31.323041,58.543227
173020,31.304455,58.540226
173021,31.235348,58.529642
173022,31.40477,58.615633
173023,31.242435,58.536783
173024,31.235716,58.541837
173025,31.234476,58.536567
173026,31.223849,58.548745
173027,31.267274,58.542743
173501,31.298823,58.583453
173502,31.395724,58.70072
173503,31.565811,58.794282
173505,31.05546,58.808776
173506,31.035886,58.870927
173507,31.227398,58.577823
173508,31.45106,58.573671
173509,30.887574,58.30267
173510,31.658517,58.453945
173511,31.540398,58.480449
173512,31.233282,58.448492
173513,31.193908,58.395105
173514,31.090458,58.338472
173516,31.009313,58.379798
173517,31.074289,58.535782
173519,31.070327,58.942698
173520,31.702067,58.52046
173521,31.748546,58.679207
173522,30.874665,58.793252
173523,32.07229,58.611944
173524,31.252721,58.528688
173525,31.369403,58.669859
173526,31.209584,58.497185
173527,31.447638,58.546636
173530,31.692473,58.43618
173531,31.626744,58.365729
173532,31.706559,58.320861
173533,31.252721,58.528688
173534,31.828523,58.402839
173535,31.639131,58.497364
173700,31.285887,58.520564
173701,31.252721,58.528688
173710,31.285887,58.520564
173730,31.319089,58.540385
173899,31.252721,58.528688
173920,31.252721,58.528688
173955,31.252721,58.528688
173956,31.252721,58.528688
173957,31.252721,58.528688
173990,31.252721,58.528688
173996,31.252721,58.528688
173998,31.252721,58.528688
173999,31.252721,58.528688
174150,30.718188,58.209422
174152,30.661459,58.188772
174153,30.737968,58.158639
174154,30.617019,58.097069
174155,30.901884,58.174395
174156,30.125021,58.275842
174157,30.985454,58.187169
174159,30.251288,58.27685
174160,30.512824,58.300589
174161,30.405969,58.340206
174163,30.701551,58.373507
174164,29.925703,58.252977
174166,30.595594,58.204325
174167,30.233942,58.36942
174200,31.537909,59.185641
174201,31.621875,59.254318
174202,31.668088,58.893825
174203,31.546542,58.987128
174207,31.513286,58.922311
174210,31.670869,59.121231
174211,31.70487,59.126021
174213,31.626097,59.138223
174214,31.850433,59.1323
174215,31.882773,59.146075
174218,32.088603,59.276315
174240,31.959273,58.973776
174250,32.085459,58.910338
174260,32.218383,58.843825
174262,32.215661,58.860695
174270,32.365383,58.773471
174271,32.689747,58.675338
174273,32.800375,58.653449
174280,32.46056,58.722514
174281,32.485183,58.636192
174282,32.348971,58.65174
174283,32.798317,58.770145
174285,32.938059,58.832277
174290,32.57037,58.691752
174320,32.874216,58.586816
174321,33.516359,58.215211
174323,33.477785,58.551797
174330,33.073853,58.486303
174331,33.229275,58.527777
174332,33.208982,58.600013
174333,33.151544,58.627418
174334,33.088833,58.704128
174335,33.368972,58.452617
174340,33.168019,58.421903
174341,33.196621,58.3764
174342,32.945183,58.36089
174343,33.113689,58.34492
174345,33.473976,58.485176
174350,33.302353,58.373276
174351,33.296182,58.401038
174352,33.282141,58.404683
174353,33.306656,58.420117
174355,33.280641,58.255747
174356,33.239202,58.275662
174357,33.341879,58.283811
174358,33.429105,58.359417
174359,33.510762,58.376069
