"index","longitude","latitude"
367000,47.498117,42.976554
367001,47.505203,42.986661
367002,47.498117,42.976554
367003,47.509662,42.966803
367004,47.530365,42.966464
367005,47.505535,42.984429
367006,47.401546,42.978225
367007,47.541684,42.968634
367008,47.482754,42.98062
367009,47.462674,42.99911
367010,47.504727,42.953235
367012,47.504044,42.987241
367013,47.518085,42.969175
367014,47.417608,42.968205
367015,47.495789,42.962123
367016,47.558473,42.708241
367018,47.548313,42.964544
367020,47.451052,43.0671
367023,47.47952,42.995854
367026,47.477634,42.977566
367027,47.460754,42.981391
367029,47.486691,42.973599
367030,47.507485,42.958336
367031,47.509856,42.946069
367032,47.464887,42.995933
367700,47.498117,42.976554
367701,47.498117,42.976554
367710,47.530365,42.966464
367730,47.530365,42.966464
367890,47.504682,42.98306
367899,47.49984,42.988296
367901,47.355822,42.971458
367902,47.516782,43.271497
367903,47.498117,42.976554
367904,47.494648,42.944168
367905,47.41527,43.021096
367910,47.369369,43.115588
367911,47.556012,42.895186
367912,47.335987,43.05718
367913,47.308575,43.032487
367915,47.516796,42.942609
367925,47.498117,42.976554
367960,47.49984,42.988296
367961,47.49984,42.988296
367962,47.505472,42.986265
367963,47.504853,42.986753
367964,47.49984,42.988296
367967,47.49984,42.988296
367990,47.498117,42.976554
367998,47.498117,42.976554
367999,47.498117,42.976554
368000,46.585193,43.238601
368001,46.582319,43.262969
368002,46.60298,43.252097
368003,46.590044,43.246272
368004,46.577701,43.235416
368005,46.57542,43.243179
368006,46.603232,43.226792
368007,46.582565,43.272838
368008,46.605396,43.230253
368009,46.579902,43.246771
368014,46.751768,43.386836
368015,46.585193,43.238601
368016,46.427539,43.270381
368017,46.458207,43.285358
368019,46.505558,43.276833
368020,46.724513,43.237656
368021,46.646674,43.231324
368022,46.72825,43.2683
368023,46.82481,43.253482
368024,46.692865,43.207811
368025,46.824963,43.334381
368026,46.727576,43.296245
368027,46.585193,43.238601
368028,46.754759,43.470043
368029,46.585193,43.238601
368030,46.506725,43.31161
368031,46.444706,43.369131
368032,46.348523,43.411642
368033,46.436657,43.484834
368034,46.471754,43.432438
368035,46.482687,43.458834
368036,46.618485,43.385742
368037,46.599872,43.409147
368038,46.67436,43.460025
368039,46.529031,43.303239
368040,46.66102,43.183118
368041,46.609089,43.345724
368042,46.662808,43.286566
368043,46.681097,43.314667
368044,46.566428,43.340787
368045,46.618629,43.491629
368047,46.583316,43.245615
368048,46.824963,43.334381
368049,46.399386,43.434146
368050,46.585193,43.238601
368053,46.582319,43.262969
368054,46.582319,43.262969
368055,46.585193,43.238601
368056,46.585193,43.238601
368057,46.585193,43.238601
368058,46.582319,43.262969
368059,46.585193,43.238601
368060,46.775052,43.60079
368062,46.664847,43.597982
368063,46.584412,43.563985
368064,46.502387,43.606658
368065,46.480818,43.54466
368066,46.744599,43.661602
368067,46.707355,43.849817
368068,46.96907,43.603642
368070,46.997242,43.560601
368071,47.152479,43.578942
368072,47.151594,43.391353
368073,46.899604,43.575402
368074,46.707355,43.849817
368075,46.726471,43.539876
368080,47.289562,43.023085
368083,47.075179,43.283357
368084,47.498117,42.976554
368085,47.288889,43.052042
368086,47.219467,43.098357
368087,47.13958,43.126953
368089,47.078467,43.114325
368101,46.834826,43.166557
368105,46.981413,43.182573
368106,47.056261,43.16248
368107,46.812287,43.210879
368108,46.861461,43.223316
368109,46.912827,43.269173
368110,46.583316,43.245615
368111,46.862665,43.302714
368112,46.845525,43.240112
368114,47.010752,43.172475
368115,46.811416,43.200037
368118,46.898651,43.195502
368120,46.870085,43.202409
368121,46.865719,43.204933
368122,46.865315,43.208021
368124,46.87222,43.197865
368140,46.643656,43.06787
368141,46.637179,43.070788
368144,46.699917,43.031022
368145,46.753789,43.04998
368146,46.630648,42.986621
368148,46.74442,42.991726
368150,46.574863,42.9892
368151,46.585193,43.238601
368152,46.837728,43.018988
368155,46.577944,43.091247
368156,46.767938,43.096507
368157,46.566275,43.078486
368160,46.487106,43.12617
368162,47.441342,43.040973
368163,46.492658,43.207239
368164,46.413588,43.22197
368165,46.54538,43.250941
368166,46.532983,43.204374
368169,46.585193,43.238601
368180,47.785441,41.584514
368182,48.008071,41.564898
368183,48.044758,41.560296
368185,48.351137,41.618544
