index,longitude,latitude,distance_m
368000,46.585193,43.238601,0.0
368001,46.582319,43.262969,1894.8045447497614
368002,46.60298,43.252097,2231.390930168026
368003,46.590044,43.246272,797.7574094784023
368004,46.577701,43.235416,867.8728964041762
368005,46.57542,43.243179,1141.656983485526
368006,46.603232,43.226792,2199.996441341773
368007,46.582565,43.272838,2640.288053597494
368008,46.605396,43.230253,2335.152617819847
368009,46.579902,43.246771,859.1050801199984
368015,46.585193,43.238601,0.0
368016,46.427539,43.270381,17693.947340510593
368017,46.458207,43.285358,14564.758565423717
368019,46.505558,43.276833,9325.413369360565
368020,46.724513,43.237656,15487.552264729706
368021,46.646674,43.231324,6857.127211960968
368022,46.72825,43.2683,16064.458154148984
368024,46.692865,43.207811,12199.187526070711
368026,46.727576,43.296245,16431.352701360338
368027,46.585193,43.238601,0.0
368029,46.585193,43.238601,0.0
368030,46.506725,43.31161,10365.359152008954
368031,46.444706,43.369131,18553.267757933285
368034,46.471754,43.432438,19498.195809922694
368036,46.618485,43.385742,11865.71345303573
368037,46.599872,43.409147,13170.796494725384
368038,46.67436,43.460025,19641.180323073888
368039,46.529031,43.303239,7971.44233785617
368040,46.66102,43.183118,9439.73868419042
368041,46.609089,43.345724,8627.498558810847
368042,46.662808,43.286566,9377.445943017705
368043,46.681097,43.314667,12148.478960715007
368044,46.566428,43.340787,8106.141567348716
368045,46.618629,43.491629,19739.83909638212
368047,46.583316,43.245615,576.6530261363712
368050,46.585193,43.238601,0.0
368053,46.582319,43.262969,1894.8045447497614
368054,46.582319,43.262969,1894.8045447497614
368055,46.585193,43.238601,0.0
368056,46.585193,43.238601,0.0
368057,46.585193,43.238601,0.0
368058,46.582319,43.262969,1894.8045447497614
368059,46.585193,43.238601,0.0
368110,46.583316,43.245615,576.6530261363712
368140,46.643656,43.06787,14603.983381190968
368141,46.637179,43.070788,14094.654125652969
368146,46.630648,42.986621,19954.671443126634
368150,46.574863,42.9892,19151.009671399126
368151,46.585193,43.238601,0.0
368155,46.577944,43.091247,11323.056637721458
368157,46.566275,43.078486,12452.621488507844
368160,46.487106,43.12617,13902.284590177896
368163,46.492658,43.207239,10563.932092761677
368164,46.413588,43.22197,19118.46803933088
368165,46.54538,43.250941,4525.7063011930795
368166,46.532983,43.204374,6369.607135243413
368169,46.585193,43.238601,0.0
